,Temp,Irr,cluster
7,8.6,0,1
8,8.7,2,1
9,9.4,41,2
10,10.1,76,2
11,10.7,104,2
12,11.2,128,2
13,11.5,116,2
14,11.6,87,2
15,11.3,49,2
16,10.8,3,2
17,10.4,0,2
18,9.9,0,2
19,9.6,0,2
20,9.3,0,1
21,8.9,0,1
31,2.2,0,0
32,2.2,2,0
33,3.7,104,1
34,4.9,176,5
35,6.0,252,5
36,6.9,301,5
37,7.4,279,5
38,7.7,272,5
39,7.2,134,1
40,6.0,14,1
41,5.5,0,1
42,4.9,0,1
43,4.4,0,1
44,3.8,0,1
45,3.3,0,1
55,1.8,0,0
56,2.1,5,0
57,4.0,97,1
58,5.9,181,5
59,7.6,252,5
60,8.8,272,5
61,9.5,257,5
62,9.5,174,5
63,8.8,93,1
64,7.6,3,1
65,7.1,0,1
66,6.6,0,1
67,6.2,0,1
68,5.7,0,1
69,5.2,0,1
79,0.4,0,0
80,0.5,2,0
81,2.2,104,0
82,3.4,160,5
83,4.5,216,5
84,5.4,265,5
85,6.5,343,5
86,6.6,218,5
87,6.0,112,1
88,4.9,16,1
89,4.4,0,1
90,3.8,0,1
91,3.3,0,1
92,2.7,0,0
93,2.2,0,0
103,-1.0,0,0
104,-0.7,8,0
105,1.2,105,0
106,3.1,200,5
107,5.0,300,5
108,6.2,301,5
109,6.5,233,5
110,6.6,206,5
111,6.0,129,1
112,4.7,16,1
113,4.3,0,1
114,3.8,0,1
115,3.3,0,1
116,2.8,0,0
117,2.4,0,0
175,-3.3,0,0
176,-3.1,5,0
177,-1.3,105,0
178,0.6,211,0
179,2.3,291,5
180,3.6,337,5
181,4.4,327,5
182,4.7,283,5
183,4.3,176,5
184,2.9,27,0
185,2.2,0,0
186,1.5,0,0
187,0.8,0,0
188,0.1,0,0
189,-0.6,0,0
199,-5.3,0,0
200,-5.1,7,0
201,-2.7,129,0
202,-0.4,246,0
203,1.5,330,5
204,3.0,369,5
205,3.8,355,5
206,4.0,285,5
207,3.4,177,5
208,1.8,27,0
209,1.4,0,0
210,1.0,0,0
211,0.6,0,0
212,0.2,0,0
213,-0.2,0,0
223,-2.0,0,0
224,-1.9,2,0
225,-1.7,10,0
226,-1.5,20,0
227,-1.3,26,0
228,-1.2,29,0
229,0.7,292,5
230,2.0,266,5
231,2.5,190,5
232,2.0,32,0
233,1.8,0,0
234,1.6,0,0
235,1.4,0,0
236,1.2,0,0
237,1.0,0,0
247,-0.5,0,0
248,-0.3,5,0
249,0.8,67,0
250,0.8,35,0
251,1.7,135,0
252,2.8,213,5
253,3.7,245,5
254,3.4,79,1
255,2.9,33,0
256,2.3,5,0
257,1.8,0,0
258,1.4,0,0
259,1.0,0,0
260,0.6,0,0
261,0.1,0,0
271,-6.9,0,0
272,-7.1,2,0
273,-7.4,28,0
274,-7.7,56,0
275,-8.0,78,0
276,-8.3,94,0
277,-8.5,90,0
278,-8.7,59,0
279,-8.4,37,0
280,-8.5,11,0
281,-8.6,0,0
282,-8.7,0,0
283,-8.9,0,0
284,-9.0,0,0
343,-6.3,0,0
344,-6.3,2,0
345,-5.2,65,0
346,-4.3,117,0
347,-3.1,193,0
348,-2.2,226,0
349,-1.8,191,0
350,-1.8,142,0
351,-2.2,89,0
352,-2.9,42,0
353,-3.6,0,0
354,-3.8,0,0
355,-4.0,0,0
356,-4.2,0,0
357,-4.4,0,0
367,-4.3,0,0
368,-4.0,6,0
369,-2.4,71,0
370,-0.7,147,0
371,0.8,195,0
372,1.7,201,5
373,2.0,150,0
374,2.3,176,0
375,1.7,70,0
376,1.2,56,0
377,0.3,0,0
378,0.0,0,0
379,-0.2,0,0
380,-0.4,0,0
381,-0.7,0,0
391,-3.3,0,0
392,-3.0,7,0
393,-0.9,113,0
394,1.1,207,0
395,2.9,286,5
396,4.3,337,5
397,5.3,330,5
398,5.6,277,5
399,4.7,113,1
400,3.5,49,1
401,2.2,0,0
402,1.9,0,0
403,1.6,0,0
404,1.3,0,0
405,0.9,0,0
415,-1.6,0,0
416,-1.2,10,0
417,1.4,135,0
418,3.5,230,5
419,5.9,357,5
420,7.3,353,5
421,7.9,302,5
422,7.7,211,5
423,7.1,156,1
424,5.8,57,1
425,4.4,0,1
426,4.2,0,1
427,4.0,0,1
428,3.9,0,1
429,3.7,0,1
439,2.6,0,0
440,2.8,3,0
441,3.1,13,1
442,3.0,24,0
443,3.6,31,1
444,3.8,35,1
445,5.6,263,5
446,6.7,215,5
447,7.0,143,1
448,6.7,53,1
449,6.1,0,1
450,5.9,0,1
451,5.6,0,1
452,5.4,0,1
453,5.1,0,1
511,6.5,0,1
512,6.6,3,1
513,7.0,20,1
514,7.3,34,1
515,7.6,47,1
516,7.8,53,1
517,7.9,46,1
518,7.9,38,1
519,7.8,26,1
520,7.7,12,1
521,7.5,0,1
522,7.3,0,1
523,7.0,0,1
524,6.7,0,1
525,6.2,0,1
535,3.8,0,1
536,4.0,3,1
537,2.3,20,0
538,3.8,35,1
539,4.1,42,1
540,4.2,47,1
541,4.2,45,1
542,4.1,40,1
543,4.0,28,1
544,3.9,12,1
545,3.0,0,0
546,3.5,0,1
547,2.9,0,0
548,3.0,0,0
549,2.7,0,0
559,-4.2,0,0
560,-4.0,10,0
561,-2.0,132,0
562,-0.1,234,0
563,1.5,324,5
564,2.7,358,5
565,3.4,347,5
566,3.6,298,5
567,3.2,206,5
568,2.0,88,0
569,0.6,1,0
570,0.0,0,0
571,-0.5,0,0
572,-1.0,0,0
573,-1.5,0,0
583,-3.1,0,0
584,-2.6,11,0
585,0.0,121,0
586,2.2,211,5
587,3.9,266,5
588,5.2,287,5
589,5.8,271,5
590,6.1,235,5
591,5.7,158,5
592,4.5,62,1
593,3.0,1,0
594,3.5,0,1
595,4.0,0,1
596,4.4,0,1
597,4.9,0,1
607,6.2,0,1
608,6.5,3,1
609,7.3,34,1
610,8.0,60,1
611,8.6,81,1
612,9.1,85,1
613,9.2,82,1
614,9.6,87,2
615,9.5,47,2
616,9.2,23,1
617,8.7,1,1
618,8.5,0,1
619,8.3,0,1
620,7.8,0,1
621,7.9,0,1
679,2.5,0,0
680,2.9,6,0
681,3.1,14,1
682,3.8,50,1
683,4.9,111,1
684,6.8,244,5
685,8.0,226,5
686,9.4,310,5
687,9.3,116,2
688,8.6,57,1
689,7.7,6,1
690,7.5,0,1
691,7.3,0,1
692,7.1,0,1
693,6.9,0,1
703,4.2,0,1
704,4.3,4,1
705,4.5,15,1
706,4.7,25,1
707,5.0,42,1
708,5.1,41,1
709,6.9,300,5
710,8.0,262,5
711,8.4,185,5
712,8.2,83,1
713,7.5,2,1
714,7.3,0,1
715,7.1,0,1
716,6.9,0,1
717,6.7,0,1
727,5.6,0,1
728,5.8,4,1
729,7.6,73,1
730,9.8,164,2
731,11.7,228,4
732,12.6,207,4
733,13.0,182,4
734,13.0,139,2
735,12.4,86,2
736,11.7,64,2
737,10.6,2,2
738,10.0,0,2
739,9.5,0,2
740,9.0,0,1
741,8.5,0,1
751,4.6,0,1
752,5.1,20,1
753,6.9,157,1
754,8.5,262,5
755,9.9,347,4
756,10.7,353,4
757,11.2,343,4
758,11.5,332,4
759,11.3,231,4
760,10.6,131,2
761,9.4,6,2
762,8.9,0,1
763,8.3,0,1
764,7.8,0,1
765,7.2,0,1
775,3.8,0,1
776,4.3,20,1
777,6.0,143,1
778,7.5,255,5
779,8.7,311,5
780,9.6,353,4
781,10.2,351,4
782,10.4,291,4
783,10.1,199,4
784,9.3,88,2
785,8.2,1,1
786,7.8,0,1
787,7.3,0,1
788,6.8,0,1
789,6.3,0,1
847,-1.9,0,0
848,-0.8,61,0
849,1.2,194,0
850,3.3,319,5
851,5.3,408,5
852,6.9,462,5
853,7.9,430,5
854,8.3,351,5
855,8.1,243,5
856,7.2,118,1
857,5.8,3,1
858,5.5,0,1
859,5.2,0,1
860,4.9,0,1
861,4.6,0,1
871,1.7,0,0
872,1.9,17,0
873,2.2,52,0
874,2.6,88,0
875,2.9,114,0
876,3.1,123,0
877,3.2,122,1
878,3.4,105,1
879,3.3,73,1
880,3.0,36,0
881,2.8,2,0
882,2.5,0,0
883,2.1,0,0
884,1.7,0,0
885,1.3,0,0
895,-0.5,0,0
896,0.7,65,0
897,2.5,183,5
898,3.9,240,5
899,5.0,270,5
900,6.3,369,5
901,7.0,324,5
902,7.5,309,5
903,7.7,275,5
904,7.3,150,1
905,6.2,16,1
906,5.5,0,1
907,4.9,0,1
908,4.3,0,1
909,3.6,0,1
919,-1.1,0,0
920,-1.2,7,0
921,-1.0,17,0
922,-1.2,35,0
923,-0.6,68,0
924,-0.5,74,0
925,0.8,368,5
926,1.6,329,5
927,1.9,228,5
928,1.8,116,0
929,1.3,9,0
930,0.8,0,0
931,0.2,0,0
932,-0.3,0,0
933,-0.9,0,0
943,-3.9,0,0
944,-3.8,6,0
945,-3.6,29,0
946,-1.5,276,0
947,-0.1,283,5
948,2.0,521,5
949,2.8,365,5
950,3.1,273,5
951,3.0,209,5
952,2.1,58,0
953,1.1,3,0
954,0.9,0,0
955,0.6,0,0
956,0.3,0,0
957,0.0,0,0
1015,-0.4,0,0
1016,-0.3,15,0
1017,0.0,44,0
1018,0.3,67,0
1019,0.6,88,0
1020,0.7,88,0
1021,0.8,87,0
1022,0.7,67,0
1023,0.5,51,0
1024,0.4,26,0
1025,0.2,3,0
1026,0.2,0,0
1027,-0.2,0,0
1028,-0.1,0,0
1029,0.0,0,0
1039,1.5,0,0
1040,2.4,40,0
1041,3.6,107,1
1042,5.0,183,5
1043,6.4,243,5
1044,7.4,252,5
1045,8.1,246,5
1046,8.5,213,5
1047,8.6,169,5
1048,8.1,82,1
1049,7.3,3,1
1050,6.6,0,1
1051,5.9,0,1
1052,5.2,0,1
1053,4.5,0,1
1063,-3.4,0,0
1064,-3.2,41,0
1065,-2.5,156,0
1066,-2.1,193,0
1067,-2.4,70,0
